"Cosine","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
0.07,0.01,"P and true G",4,200,0.1,"medium","opp"
0.68,0.03,"Estimated G and true G",4,200,0.1,"medium","opp"
0.31,0.03,"P and estimated G",4,200,0.1,"medium","opp"
0.63,0.03,"P and true G",4,20,0.5,"medium","opp"
0.83,0.02,"Estimated G and true G",4,20,0.5,"medium","opp"
0.68,0.03,"P and estimated G",4,20,0.5,"medium","opp"
0.56,0.03,"P and true G",4,60,0.5,"medium","opp"
0.93,0.01,"Estimated G and true G",4,60,0.5,"medium","opp"
0.61,0.03,"P and estimated G",4,60,0.5,"medium","opp"
0.56,0.03,"P and true G",4,200,0.5,"medium","opp"
0.97,0.01,"Estimated G and true G",4,200,0.5,"medium","opp"
0.6,0.03,"P and estimated G",4,200,0.5,"medium","opp"
0.15,0.01,"P and true G",4,20,0.1,"high","opp"
0.59,0.03,"Estimated G and true G",4,20,0.1,"high","opp"
0.55,0.03,"P and estimated G",4,20,0.1,"high","opp"
0.16,0.01,"P and true G",4,60,0.1,"high","opp"
0.76,0.03,"Estimated G and true G",4,60,0.1,"high","opp"
0.41,0.03,"P and estimated G",4,60,0.1,"high","opp"
0.15,0.01,"P and true G",4,200,0.1,"high","opp"
0.95,0.01,"Estimated G and true G",4,200,0.1,"high","opp"
0.21,0.02,"P and estimated G",4,200,0.1,"high","opp"
0.76,0.03,"P and true G",4,20,0.5,"high","opp"
0.96,0.01,"Estimated G and true G",4,20,0.5,"high","opp"
0.78,0.03,"P and estimated G",4,20,0.5,"high","opp"
0.85,0.02,"P and true G",4,60,0.5,"high","opp"
0.99,0,"Estimated G and true G",4,60,0.5,"high","opp"
0.85,0.02,"P and estimated G",4,60,0.5,"high","opp"
0.82,0.02,"P and true G",4,200,0.5,"high","opp"
1,0,"Estimated G and true G",4,200,0.5,"high","opp"
0.82,0.02,"P and estimated G",4,200,0.5,"high","opp"
