"Disparity","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
50.7,0.35,"P and true G",8,60,0.5,"high","ind"
17.76,0.71,"Estimated G and true G",8,60,0.5,"high","ind"
49.2,0.42,"P and estimated G",8,60,0.5,"high","ind"
50.7,0.33,"P and true G",12,60,0.5,"high","ind"
25.12,2.09,"Estimated G and true G",12,60,0.5,"high","ind"
51.62,1.26,"P and estimated G",12,60,0.5,"high","ind"
50.3,0.28,"P and true G",4,200,0.5,"high","ind"
10.68,0.74,"Estimated G and true G",4,200,0.5,"high","ind"
51.06,0.37,"P and estimated G",4,200,0.5,"high","ind"
50.12,0.19,"P and true G",8,200,0.5,"high","ind"
9.04,0.27,"Estimated G and true G",8,200,0.5,"high","ind"
50.1,0.23,"P and estimated G",8,200,0.5,"high","ind"
50.23,0.18,"P and true G",12,200,0.5,"high","ind"
10.59,0.82,"Estimated G and true G",12,200,0.5,"high","ind"
50.43,0.46,"P and estimated G",12,200,0.5,"high","ind"
